,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,per_unit,call_put,exercise_price,maturity_date,s_month,equities_close,maturity_time,iv,value,vega
21,10001519.SH,20190102,SSE,0.1891,0.1891,0.188,0.188,0.1632,0.1671,0.1659,0.0217,375145.9,1549.0,10202.0,1,2.254,20190626,201906,2.255,0.4794520547945205,0.26101437662878224,0.0678580321820017,0.8471936770961571
22,10001647.SH,20190102,SSE,0.213,0.213,0.2183,0.2198,0.18,0.185,0.185,0.1118,2133831.0,552.0,10000.0,1,2.1,20190227,201902,2.255,0.15342465753424658,0.24535599043695577,0.1309722205155026,0.5584056035947997
23,10001580.SH,20190102,SSE,0.1065,0.1065,0.1087,0.1101,0.084,0.0884,0.0884,0.3877,3540003.0,7889.0,10000.0,1,2.3,20190327,201903,2.255,0.23013698630136986,0.2465905533390108,0.024313790979819005,0.5310387741607053
24,10001422.SH,20190102,SSE,0.0208,0.0208,0.0206,0.0206,0.0145,0.0158,0.0158,0.1226,192631.1,6278.0,10202.0,1,2.5980000000000003,20190327,201903,2.255,0.23013698630136986,0.2424516779186217,-0.0508537877223002,0.2940583964762013
25,10001606.SH,20190102,SSE,0.1061,0.1061,0.1018,0.1188,0.1018,0.1146,0.1146,0.4193,4720087.0,5973.0,10000.0,-1,2.25,20190626,201906,2.255,0.4794520547945205,0.19809896337119925,0.05422933228684035,0.8548059423820991
26,10001594.SH,20190102,SSE,0.2655,0.2683,0.2592,0.2966,0.2592,0.2894,0.295,0.0764,2180075.0,1508.0,10000.0,-1,2.55,20190327,201903,2.255,0.23013698630136986,0.12050982556090489,0.24321540768654937,0.32700928191670603
27,10001577.SH,20190102,SSE,0.314,0.3115,0.3013,0.34700000000000003,0.3013,0.3391,0.345,0.1262,4223369.0,2735.0,10000.0,-1,2.6,20190123,201901,2.255,0.057534246575342465,7.888609052210118e-31,0.23648114975404866,0.2055360647483074
28,10001534.SH,20190102,SSE,0.0237,0.0237,0.022000000000000002,0.0305,0.0183,0.0278,0.0278,1.5907,4290680.65,12983.0,10202.0,-1,2.205,20190123,201901,2.255,0.057534246575342465,0.2309684247326989,-0.0027754152131018728,0.2897888910915386
29,10001660.SH,20190102,SSE,0.0837,0.0837,0.0801,0.0983,0.0746,0.0932,0.0932,0.6768,6002629.0,4014.0,10000.0,-1,2.3,20190227,201902,2.255,0.15342465753424658,0.19880526834615703,0.056815165973050696,0.4350673125519145
30,10001630.SH,20190102,SSE,0.0866,0.0866,0.0853,0.0966,0.0833,0.0936,0.0936,0.1223,1127337.0,8337.0,10000.0,-1,2.2,20190626,201906,2.255,0.4794520547945205,0.20228866983384303,0.032925655104219964,0.9497807852934165
